"","sort(rowSums(as.matrix(term_freq_con)), decreasing = TRUE)"
"meals",1
"meanstested",1
"meanswe",1
"measuresfor",1
"measuresmaintaining",1
"measuresthe",1
"measuresthis",1
"measuresunder",1
"measureswhile",1
"mechanismwe",1
"medals",1
"mediator",1
"mehk",1
"membersviews",1
"memoranda",1
"mentalhealth",1
"mentallyhandicapped",1
"mentorship",1
"merged",1
"merits",1
"messages",1
"metal",1
"metals",1
"metresthe",1
"metropolitan",1
"michelin",1
"mickle",1
"micro",1
"microbank",1
"microbiological",1
"microenterprises",1
"middleincome",1
"midfebruary",1
"midjanuary",1
"midnight",1
"midtier",1
"midto",1
"midudget",1
"midwifery",1
"midyear",1
"migrants",1
"migrate",1
"mill",1
"millilitres",1
"millionbproviding",1
"millioncadding",1
"milliondincreasing",1
"millioneproviding",1
"millionfpaying",1
"millioni",1
"millionin",1
"millionireducing",1
"millionjreducing",1
"millionkproviding",1
"millionon",1
"millionrecently",1
"millions",1
"millionsince",1
"millionwe",1
"millionwhile",1
"minds",1
"mineral",1
"ming",1
"mining",1
"minus",1
"mired",1
"misconnection",1
"miserly",1
"misfortune",1
"misleading",1
"mismanagement",1
"misunderstandings",1
"mobilityeducation",1
"modelled",1
"modelling",1
"modernised",1
"modernising",1
"modestly",1
"modificationland",1
"modificationsland",1
"modify",1
"momentous",1
"moments",1
"moneyfollowingtheuser",1
"monthswe",1
"monththis",1
"mood",1
"moreliquid",1
"moses",1
"motivation",1
"motorcycles",1
"mount",1
"movies",1
"muchloved",1
"muchneeded",1
"multichannel",1
"multicultural",1
"multicurrency",1
"multidestination",1
"multimodal",1
"multitech",1
"multitranche",1
"museums",1
"mushrooming",1
"mutually",1
"mutuallybeneficial",1
"myanmar",1
"mystic",1
"naming",1
"nanning",1
"nanofibre",1
"nanotechnology",1
"narrowed",1
"nationaldevelopment",1
"nationality",1
"nationwide",1
"naturally",1
"nba",1
"ndas",1
"necessarily",1
"necessarywe",1
"necessity",1
"needas",1
"needing",1
"needon",1
"needsthe",1
"needwhile",1
"needynew",1
"needywe",1
"negativefalse",1
"neglected",1
"negotiate",1
"negotiated",1
"negotiating",1
"negotiationsproviding",1
"negotiator",1
"neonatal",1
"nerves",1
"nestopservices",1
"neti",1
"neutral",1
"neversaydie",1
"neweconomy",1
"newenergy",1
"newer",1
"news",1
"nexus",1
"nfc",1
"nfcenabled",1
"ngau",1
"nighttime",1
"noahs",1
"nobody",1
"nodeduction",1
"nodes",1
"noisy",1
"nominate",1
"nonacademic",1
"nonbiodegradable",1
"nonfinancial",1
"nonguangdong",1
"nonhong",1
"nonindividuals",1
"nonindividualsmoreover",1
"nonpersonal",1
"nonpublic",1
"nonresidential",1
"nonresidents",1
"nonrmb",1
"nonsevere",1
"nonsingle",1
"nontradable",1
"noodle",1
"normalises",1
"northwards",1
"notecomprehensive",1
"noted",1
"nothing",1
"noticeably",1
"noting",1
"novices",1
"numbering",1
"numbertypetcsc",1
"numerals",1
"nurtures",1
"nurturingtalent",1
"nutrients",1
"nutshell",1
"nylonkong",1
"objections",1
"objectiveshong",1
"objectivity",1
"obligation",1
"obnoxious",1
"observation",1
"observed",1
"obviating",1
"obvious",1
"occasionally",1
"occupation",1
"occupied",1
"occupier",1
"occupying",1
"oceanand",1
"octobers",1
"octopus",1
"odd",1
"oecds",1
"offeringaround",1
"officebusiness",1
"officially",1
"offiscal",1
"offsettings",1
"ofhong",1
"ofinnovation",1
"ofsituation",1
"oily",1
"olympicrelated",1
"omission",1
"omnipresence",1
"onboard",1
"oncall",1
"oncampus",1
"oneeighth",1
"onefifth",1
"onemonth",1
"oneper",1
"onesided",1
"oneswe",1
"onstreet",1
"openair",1
"operates",1
"operationcurrently",1
"operationon",1
"opined",1
"opportune",1
"opportunitiesbearmarking",1
"opportunitiesto",1
"oppose",1
"opposite",1
"opposition",1
"optimisation",1
"optimism",1
"optin",1
"organ",1
"orient",1
"originated",1
"osmosis",1
"otherswidespread",1
"othertake",1
"outbound",1
"outbreaks",1
"outdoor",1
"outlines",1
"outlining",1
"outlying",1
"outpace",1
"outpaces",1
"outperforming",1
"outputs",1
"outset",1
"outsourced",1
"overborrowing",1
"overconcentration",1
"overexpanded",1
"overheated",1
"overheating",1
"overinvestment",1
"overloaded",1
"overreliance",1
"overriding",1
"overseasbestablishing",1
"overseasmainland",1
"overseeing",1
"overshadowing",1
"overshot",1
"oversubscribed",1
"overtaken",1
"overview",1
"overwhelmed",1
"owes",1
"owneroccupied",1
"owning",1
"oxygen",1
"pacethis",1
"packages",1
"painstaking",1
"pair",1
"pak",1
"palm",1
"panacea",1
"paperless",1
"papers",1
"paralympic",1
"parcel",1
"parcels",1
"parenting",1
"parentscarers",1
"parkballocating",1
"parkinsons",1
"parkwe",1
"participates",1
"particulars",1
"passion",1
"patented",1
"patents",1
"pathology",1
"patiently",1
"patterns",1
"pave",1
"payback",1
"paysprinciple",1
"peaki",1
"peddling",1
"pedestrian",1
"peer",1
"peers",1
"peg",1
"pending",1
"peopleas",1
"peoplebmaking",1
"peopleoriented",1
"peoplesburden",1
"peopleselfreliance",1
"peopleshardship",1
"peopleueb",1
"peoplewe",1
"percentour",1
"perfection",1
"performancesduring",1
"performancetotal",1
"periodbecause",1
"perioddesignated",1
"periodically",1
"periodmainland",1
"periodthe",1
"peritoneal",1
"permission",1
"perplexed",1
"personalisation",1
"personally",1
"personnelrelated",1
"personscproviding",1
"personsestrengthening",1
"pertaining",1
"pesticide",1
"petitions",1
"petroleum",1
"petrolonly",1
"pharmacist",1
"pharmacists",1
"pharmacovigilance",1
"pharmacy",1
"phenomena",1
"phenomenal",1
"phenomenon",1
"philippines",1
"philosopher",1
"phones",1
"photonics",1
"phrase",1
"physically",1
"physiotherapists",1
"piazzas",1
"picnic",1
"piece",1
"pieces",1
"pinpointed",1
"pipes",1
"pitch",1
"placements",1
"placesbproviding",1
"placesin",1
"placewe",1
"placings",1
"plaguing",1
"planting",1
"player",1
"plb",1
"please",1
"plenary",1
"plot",1
"plug",1
"plugging",1
"plumbing",1
"plunging",1
"plurilateral",1
"pointing",1
"poised",1
"poland",1
"polarised",1
"policythe",1
"pollutant",1
"pooled",1
"poorsthese",1
"populism",1
"populist",1
"popup",1
"pork",1
"portals",1
"portfolioover",1
"portions",1
"portugal",1
"positionfcaring",1
"positionwhere",1
"possibleconsideration",1
"postbrexit",1
"posted",1
"postgraduates",1
"postipo",1
"postshipment",1
"postsurgical",1
"postulates",1
"potentially",1
"practicum",1
"prada",1
"pre",1
"preaccepted",1
"preapproved",1
"precautions",1
"precise",1
"precludes",1
"precondition",1
"predicamentdespite",1
"predictable",1
"predominant",1
"predominantly",1
"preempt",1
"preepidemic",1
"prefer",1
"preference",1
"preletting",1
"prelude",1
"preordering",1
"prerecession",1
"prereunification",1
"prescribed",1
"presencewe",1
"presentation",1
"presenting",1
"presentment",1
"preservation",1
"preshipment",1
"presidenti",1
"presidential",1
"presidentintroduction",1
"pressured",1
"pressurein",1
"prevalence",1
"prevalent",1
"prevents",1
"previousterm",1
"prewar",1
"priced",1
"pricesensitive",1
"pride",1
"principally",1
"principlesthese",1
"printed",1
"prioritisation",1
"prioritise",1
"prioritised",1
"prioritising",1
"privatelyoffered",1
"privileged",1
"prix",1
"prize",1
"prizes",1
"proceduresin",1
"proceduresthe",1
"proceedi",1
"processover",1
"processstudies",1
"procure",1
"procured",1
"producerresponsibility",1
"producers",1
"productisation",1
"productswe",1
"professionalisation",1
"professionalservices",1
"professionalsour",1
"professionsi",1
"professorship",1
"profiles",1
"profitmaking",1
"profoundly",1
"programmeat",1
"programmedproviding",1
"programmessuch",1
"programmethe",1
"programming",1
"prohibiting",1
"projectsin",1
"prompts",1
"propellers",1
"propertyit",1
"propertyrelated",1
"proposalsduring",1
"proposalsin",1
"proposalsthe",1
"proposalsturning",1
"propped",1
"proprietary",1
"propriety",1
"prospect",1
"prospective",1
"prospectus",1
"prospectuses",1
"protected",1
"protests",1
"protocols",1
"proves",1
"provisional",1
"provoking",1
"prudentlyon",1
"psychologists",1
"psychosis",1
"psychotropic",1
"publicly",1
"publicseparately",1
"publish",1
"publishers",1
"pull",1
"pulled",1
"pump",1
"purchased",1
"purchasers",1
"purposespecific",1
"pursuance",1
"pursuant",1
"purview",1
"qatar",1
"qfs",1
"qms",1
"qualification",1
"qualify",1
"qualitydriven",1
"quarteremployment",1
"quarterfortunately",1
"quest",1
"questions",1
"queue",1
"quicker",1
"quicklysince",1
"quiet",1
"quo",1
"quoted",1
"races",1
"racial",1
"racing",1
"radical",1
"raft",1
"rags",1
"railbased",1
"railwayproperty",1
"rainbow",1
"ram",1
"ramifications",1
"rank",1
"rapidlyfollowing",1
"rapidlygrowing",1
"rateas",1
"rateour",1
"ratesand",1
"ratewe",1
"rationalising",1
"rationing",1
"rattled",1
"ravaged",1
"ravages",1
"rchd",1
"rdrelated",1
"reactivated",1
"reactive",1
"readilyavailable",1
"readiness",1
"readytoeat",1
"realignment",1
"reassess",1
"reassessing",1
"receipt",1
"recentlylaunched",1
"recentlyturning",1
"recessions",1
"reckless",1
"recklessly",1
"reconciliation",1
"reconstruction",1
"records",1
"recounted",1
"recounting",1
"recoveryduring",1
"recoverysome",1
"recoverytotal",1
"recoverywith",1
"recreationalfacilities",1
"recyclable",1
"recyclingas",1
"redeeming",1
"redemptions",1
"redeploy",1
"redeployed",1
"redesigned",1
"redevelopments",1
"redevelopmentsince",1
"rediscover",1
"redistributing",1
"redomicile",1
"redomiciled",1
"redouble",1
"redress",1
"reduces",1
"reductionsfor",1
"redundant",1
"reemergethe",1
"reemployment",1
"reentaxes",1
"reestablish",1
"reexportled",1
"referenced",1
"referring",1
"reflection",1
"refresh",1
"refunds",1
"refurbishing",1
"regaining",1
"regains",1
"regather",1
"regimesmaintaining",1
"regimethe",1
"regionas",1
"regionhong",1
"regionwe",1
"registers",1
"regressive",1
"regularised",1
"rehabilitationservices",1
"reimbursement",1
"reinforcedat",1
"reinforces",1
"reintegration",1
"rejected",1
"rejuvenate",1
"relates",1
"relationships",1
"relaunch",1
"relaunched",1
"relevance",1
"reliability",1
"reliant",1
"relics",1
"reliefs",1
"reliefthe",1
"relieved",1
"relievepeoples",1
"reluctant",1
"relying",1
"remainder",1
"remarked",1
"remissions",1
"remit",1
"remittances",1
"remould",1
"removed",1
"rename",1
"rendustrialisation",1
"renewing",1
"renovate",1
"renovating",1
"renown",1
"rentalsthe",1
"renting",1
"reopened",1
"repackage",1
"repaired",1
"repairs",1
"repatriation",1
"repayments",1
"repetitive",1
"replanning",1
"replenish",1
"reported",1
"reporters",1
"reposition",1
"representation",1
"representative",1
"reprioritise",1
"reprovision",1
"reprovisioned",1
"republic",1
"repurchase",1
"reputable",1
"requisite",1
"researchand",1
"researchbased",1
"researching",1
"reservation",1
"reservoirs",1
"reshape",1
"reshaping",1
"reside",1
"resided",1
"residence",1
"residency",1
"resign",1
"resignation",1
"resolutions",1
"resonance",1
"resorting",1
"resourceful",1
"resourcefulness",1
"resourcesmaintaining",1
"resourcesthe",1
"respectivelythis",1
"respiratory",1
"restoration",1
"restrain",1
"restraining",1
"restrict",1
"restricting",1
"restriction",1
"restructured",1
"resultsdextend",1
"resumes",1
"resuming",1
"resurgence",1
"retailerspricing",1
"retendered",1
"retendering",1
"retention",1
"retreat",1
"retrieve",1
"retrofit",1
"retrospect",1
"reusable",1
"reused",1
"revamping",1
"reveal",1
"revenuecapital",1
"revenueoperating",1
"revitalized",1
"revolution",1
"revolutionary",1
"revolutionised",1
"rewards",1
"rezone",1
"rice",1
"richer",1
"riches",1
"richness",1
"rightsthe",1
"rigorous",1
"riot",1
"ripple",1
"riseas",1
"riseasset",1
"risingmainland",1
"riskbased",1
"riskmanagement",1
"rival",1
"rket",1
"roadbased",1
"roboadvisors",1
"robotic",1
"rode",1
"rooftops",1
"routines",1
"roving",1
"royal",1
"royalties",1
"rqfiis",1
"rugby",1
"rumsey",1
"rundown",1
"runin",1
"runlinkage",1
"rush",1
"russell",1
"sad",1
"safer",1
"salesby",1
"salespersons",1
"salon",1
"samples",1
"sandwich",1
"satellite",1
"satisfying",1
"savannah",1
"savvy",1
"says",1
"scaled",1
"scaling",1
"scarcely",1
"scattered",1
"scheduledsubject",1
"schemecproviding",1
"schemeqms",1
"schemesthe",1
"schemethe",1
"schemeup",1
"schemewe",1
"scholarshipswe",1
"schoolbasedafterschool",1
"schooling",1
"sclerosis",1
"scooped",1
"scoring",1
"scotland",1
"scourges",1
"scrapped",1
"scripless",1
"scrutinise",1
"scsbased",1
"scss",1
"searching",1
"seasonallyadjusted",1
"seat",1
"seated",1
"secondhand",1
"secondlargest",1
"secretaries",1
"secretaryhong",1
"secretarys",1
"sectorcurrently",1
"sectorswith",1
"sectorueb",1
"sectorwe",1
"securitiesmarket",1
"securitisationthis",1
"securityassistance",1
"seeing",1
"seekersthe",1
"self",1
"selfcertification",1
"selfdevelopment",1
"selffulfillment",1
"selfhealth",1
"selfhelp",1
"selfinflicted",1
"selfinitiated",1
"selfless",1
"selfrelianceto",1
"selfsacrifice",1
"semifinished",1
"semiskilled",1
"send",1
"seng",1
"seniors",1
"sensible",1
"sensing",1
"seoul",1
"separation",1
"sequencing",1
"seriatim",1
"servicecfurther",1
"servicesas",1
"servicesbecause",1
"servicesbenhancing",1
"servicescincreasing",1
"servicesfollowing",1
"servicesi",1
"serviceslast",1
"servicesmeanwhile",1
"servicesthese",1
"servicesthis",1
"servicesto",1
"servicestotal",1
"servicethe",1
"sessionto",1
"sessionwith",1
"settlements",1
"settlors",1
"sevenmillion",1
"sevens",1
"seventy",1
"sevenyear",1
"severity",1
"sewerage",1
"sfcs",1
"shaanxi",1
"shadow",1
"shandong",1
"shansheung",1
"shaping",1
"shareholders",1
"sharingfruits",1
"sharingi",1
"shed",1
"shek",1
"shelter",1
"sheltered",1
"shelve",1
"shelving",1
"shing",1
"shipowners",1
"shipped",1
"shippingrelated",1
"shocked",1
"shockresistance",1
"shocksas",1
"shocksi",1
"shopped",1
"shortcomings",1
"shortened",1
"shorthaul",1
"shortlisted",1
"shortlythe",1
"shortsightedness",1
"shroff",1
"shrugged",1
"shrunk",1
"shuiyuen",1
"sick",1
"signalled",1
"signals",1
"signature",1
"signboards",1
"signifies",1
"simplicity",1
"simultaneous",1
"sing",1
"singledeck",1
"singletons",1
"sinking",1
"sir",1
"sitesbut",1
"siteselection",1
"siteslast",1
"sitesthe",1
"sixmonth",1
"sixtysix",1
"sixyear",1
"skilful",1
"skillsthe",1
"skillsupgrading",1
"skyrail",1
"slacken",1
"slash",1
"slide",1
"slopes",1
"slowest",1
"slows",1
"slump",1
"smallandmediumsized",1
"smalltomedium",1
"smartcard",1
"smartphone",1
"smartspace",1
"smessubject",1
"smuggling",1
"soccer",1
"socialenterprises",1
"socially",1
"sociallydisadvantaged",1
"societal",1
"societies",1
"societyfirst",1
"societyhowever",1
"softened",1
"softening",1
"soldwill",1
"sole",1
"soliciting",1
"something",1
"song",1
"soonfuture",1
"sorrows",1
"sort",1
"sorts",1
"sosince",1
"soul",1
"sourcevalue",1
"spacescreserving",1
"spans",1
"spark",1
"spawned",1
"spearheaded",1
"specialising",1
"specialties",1
"specification",1
"specifies",1
"specify",1
"specimens",1
"spectrums",1
"speeded",1
"speedier",1
"speedily",1
"speedpost",1
"speeds",1
"spells",1
"spenders",1
"spendings",1
"sphere",1
"spill",1
"spillover",1
"spinning",1
"spiral",1
"spoke",1
"sponsorships",1
"sportsdevelopment",1
"sportsto",1
"spotscpromoting",1
"spouse",1
"spouses",1
"spurring",1
"squad",1
"squandered",1
"stabilitygovernment",1
"stabilityon",1
"stadiums",1
"staffbincreasing",1
"staggering",1
"standalone",1
"standardise",1
"standardised",1
"standardsthis",1
"stanford",1
"star",1
"startupsbthe",1
"statesman",1
"stayed",1
"stchmetcnv",1
"stchmetcnvunitnamea",1
"steadied",1
"steadier",1
"steadilygrowing",1
"steadilyi",1
"steaming",1
"steered",1
"steers",1
"stemming",1
"stemrelated",1
"stepbystep",1
"stickers",1
"stigmatisation",1
"stilllow",1
"stimulates",1
"stipulate",1
"stockpiling",1
"stones",1
"stopping",1
"stops",1
"strain",1
"strait",1
"straitjacket",1
"strange",1
"straw",1
"streaming",1
"streamlast",1
"streamlined",1
"streams",1
"streets",1
"strengthenhealthcare",1
"strengtheningthe",1
"strengthsi",1
"strides",1
"strikes",1
"strongest",1
"strove",1
"struggle",1
"struggling",1
"stuck",1
"studentoriented",1
"studentsto",1
"studenttrainees",1
"stumble",1
"subdivided",1
"subgroup",1
"subjecting",1
"subjects",1
"submitting",1
"subscribing",1
"subscription",1
"subscriptionas",1
"subscriptions",1
"subsided",1
"subsidiaries",1
"substantiallyin",1
"substitute",1
"subsumed",1
"subtle",1
"subtrend",1
"subways",1
"succeeding",1
"successfulwe",1
"sufferers",1
"suffocated",1
"suffrage",1
"suitcases",1
"suited",1
"suits",1
"summary",1
"summer",1
"sunnyway",1
"superb",1
"superlow",1
"supermarket",1
"supervisors",1
"supplydemand",1
"supportemployees",1
"supportemployment",1
"supportover",1
"surfacing",1
"surgeries",1
"surplusdeficitcapital",1
"surround",1
"surrounding",1
"surroundings",1
"surveying",1
"survival",1
"suspension",1
"suspicious",1
"swds",1
"swdsubvented",1
"sweden",1
"sweeping",1
"swelling",1
"swings",1
"switches",1
"switching",1
"symbiosis",1
"symbol",1
"symphony",1
"synchronise",1
"synchronized",1
"synergies",1
"synonym",1
"systemgiven",1
"systemin",1
"systemsafeguarding",1
"systemsin",1
"systemsprinciple",1
"tailored",1
"tale",1
"talentapplicants",1
"talked",1
"taller",1
"targetting",1
"tariffs",1
"taste",1
"taxi",1
"taxing",1
"taxwe",1
"taxwhile",1
"tbs",1
"teach",1
"tears",1
"technically",1
"technicians",1
"technologicallybased",1
"technologyfund",1
"technologyinfrastructure",1
"technologyneutrality",1
"technologyrelated",1
"teenagers",1
"telecasts",1
"teleport",1
"tenancy",1
"tenantsgovernment",1
"tenantsnotesame",1
"tend",1
"tendency",1
"tendering",1
"tends",1
"teng",1
"tenor",1
"tenpin",1
"tentative",1
"tenth",1
"tenure",1
"terminallyill",1
"terminalswe",1
"termsdomestic",1
"terrain",1
"terrible",1
"territorial",1
"territorialbased",1
"territoryon",1
"terrorism",1
"terrorist",1
"testament",1
"testimonies",1
"text",1
"textbook",1
"textiles",1
"thai",1
"thankful",1
"thechallenge",1
"thecity",1
"thecrisis",1
"thelogistics",1
"themto",1
"thenon",1
"theologian",1
"thereon",1
"thestorm",1
"thick",1
"thisi",1
"thisin",1
"thought",1
"threatening",1
"threefourths",1
"threehour",1
"threenil",1
"threepercent",1
"threepronged",1
"thrives",1
"throughtrain",1
"tianjin",1
"tickets",1
"tightest",1
"timein",1
"timeon",1
"timetablewhile",1
"tiny",1
"tiresome",1
"todaythe",1
"togetheri",1
"toilet",1
"tolerance",1
"tolerate",1
"tomography",1
"tone",1
"tonnage",1
"tool",1
"topic",1
"topmost",1
"tops",1
"totalin",1
"touch",1
"touched",1
"touchless",1
"tougher",1
"tourismdenhancing",1
"touriststo",1
"tournamentbthrough",1
"tourscthrough",1
"tracking",1
"tradable",1
"trademark",1
"trademarks",1
"tradeoffs",1
"traditions",1
"trafficcongestion",1
"trailers",1
"trained",1
"transactionsthe",1
"transactionsthird",1
"transcending",1
"transfusion",1
"transition",1
"translated",1
"translates",1
"translational",1
"transnational",1
"transportationcentre",1
"travellersthe",1
"traverses",1
"treetop",1
"tremendously",1
"trench",1
"trended",1
"trepidation",1
"trialsthis",1
"tried",1
"triggeredin",1
"triggering",1
"trilingualism",1
"trim",1
"triple",1
"triplea",1
"tripled",1
"trodden",1
"trouble",1
"troupes",1
"trucker",1
"trucking",1
"trunk",1
"trustee",1
"tsai",1
"tthird",1
"tuition",1
"tumbled",1
"turkey",1
"tuspark",1
"tutorial",1
"tutorials",1
"twentyfootequivalent",1
"twisting",1
"twomeasures",1
"twomonth",1
"twopercent",1
"twophased",1
"tyresthe",1
"uebnvest",1
"ueinwinwinsituation",1
"uenimal",1
"ueolluter",1
"uerudent",1
"ueser",1
"ueuality",1
"ultraabundant",1
"ultraexpensive",1
"ultraloose",1
"unacceptable",1
"unaffected",1
"unaffordable",1
"unambiguous",1
"unavoidable",1
"uncivilised",1
"uncommitted",1
"uncommon",1
"unconventional",1
"undaunted",1
"undergoes",1
"underlines",1
"undermining",1
"underneath",1
"underpin",1
"understatement",1
"undersupply",1
"undertaken",1
"undertakings",1
"underwrite",1
"undue",1
"unemployedbraising",1
"unexpectedly",1
"unfolding",1
"unforgettable",1
"unhappy",1
"unidentified",1
"uniform",1
"unions",1
"uniquely",1
"universityindustry",1
"unleashing",1
"unlike",1
"unnecessarily",1
"unpopular",1
"unprecedentedly",1
"unresolved",1
"unrivalled",1
"unseen",1
"unshakeable",1
"unstablein",1
"unsteady",1
"unstinting",1
"unsuccessful",1
"untied",1
"untiring",1
"unusually",1
"unveil",1
"unwarranted",1
"unwavering",1
"unyielding",1
"upandcoming",1
"upgrades",1
"upheld",1
"upperlimb",1
"upscale",1
"upswing",1
"uptostandard",1
"urbanisation",1
"urbanised",1
"urgency",1
"usable",1
"usage",1
"usddenominated",1
"useful",1
"useit",1
"usersecond",1
"usesthe",1
"usethe",1
"useto",1
"ushered",1
"ushering",1
"usmeanwhile",1
"usually",1
"vacancy",1
"vacating",1
"vaccinated",1
"valiant",1
"valley",1
"valuations",1
"valueadding",1
"valueformoney",1
"variables",1
"varieties",1
"vehement",1
"vehiclerelated",1
"vehicleswhen",1
"velodromecumsports",1
"venerable",1
"venice",1
"vents",1
"ventures",1
"versa",1
"vice",1
"vicious",1
"victim",1
"victor",1
"video",1
"videos",1
"viewsafter",1
"viewwe",1
"vii",1
"viii",1
"village",1
"vinexpo",1
"virtually",1
"viruses",1
"virustogether",1
"visas",1
"visiondriven",1
"visitorsstarting",1
"visually",1
"vitalityour",1
"vitally",1
"vividly",1
"voiceprints",1
"volatilityi",1
"voluntarily",1
"volunteer",1
"volunteers",1
"vulnerabilities",1
"wait",1
"walk",1
"walked",1
"walking",1
"walls",1
"wants",1
"warehousing",1
"warning",1
"wartime",1
"washington",1
"watches",1
"watchword",1
"waver",1
"weaknesses",1
"wealthy",1
"wear",1
"webbased",1
"webpage",1
"website",1
"weekly",1
"weekthese",1
"weighing",1
"weighting",1
"weightings",1
"welfarefacilities",1
"wellplaced",1
"wellprepared",1
"wellrecognised",1
"wellspecified",1
"wellsupported",1
"whampoa",1
"wharf",1
"wheel",1
"whenever",1
"whilst",1
"wholesalers",1
"widened",1
"widens",1
"wideranging",1
"width",1
"wifihk",1
"windfall",1
"winding",1
"winds",1
"winegrowing",1
"wineproducing",1
"winerelated",1
"wing",1
"winner",1
"winners",1
"wishing",1
"withdraw",1
"withdrawal",1
"withstood",1
"witness",1
"wits",1
"wonton",1
"woods",1
"workfamily",1
"workfare",1
"workflow",1
"workplace",1
"workscextend",1
"worksin",1
"worksthis",1
"workthe",1
"worldexpo",1
"worldin",1
"worldwe",1
"worldwidewe",1
"worries",1
"worthy",1
"wreaking",1
"wrestling",1
"write",1
"wrong",1
"wrongdoings",1
"wston",1
"wtos",1
"yacht",1
"yat",1
"yazhou",1
"yearcraising",1
"yeardextending",1
"yearexports",1
"yearfirstly",1
"yearfollowing",1
"yeari",1
"yearin",1
"yearinflation",1
"yearit",1
"yearly",1
"yearmore",1
"yearning",1
"yearoperating",1
"yearplanning",1
"yearsas",1
"yearscompared",1
"yearsexpenditure",1
"yearsfor",1
"yearsi",1
"yearsit",1
"yearsour",1
"yearsuccessful",1
"yearswhile",1
"yearthese",1
"yearthis",1
"yearturning",1
"yearwe",1
"yesterday",1
"yielded",1
"yim",1
"youthservices",1
"zeroinventory",1
"zhejiang",1
"zhoukan",1
"zoned",1
